time,spatial_ref,ET_m3_day
2004-05-03,0,7169528300.0
2004-05-04,0,7067052000.0
2004-05-05,0,6816284000.0
2004-05-06,0,6868851700.0
2004-05-07,0,7526451000.0
2004-05-08,0,5323005000.0
2004-05-09,0,5345111600.0
2004-05-11,0,5021294000.0
2004-05-12,0,5369812000.0
2004-05-13,0,5486638600.0
2004-05-14,0,4680321500.0
2004-05-15,0,5157731300.0
2004-05-16,0,5632724000.0
2004-05-17,0,6241576000.0
2004-05-18,0,6925559300.0
2004-05-19,0,6198480400.0
2004-05-20,0,5856523300.0
2004-05-21,0,6268340700.0
2004-05-22,0,6704770000.0
2004-05-23,0,6374953000.0
2004-05-24,0,3676289300.0
2004-05-25,0,3799312100.0
2004-05-26,0,3866104000.0
2004-05-27,0,3912088300.0
2004-05-28,0,4323936000.0
2004-05-29,0,4803900400.0
2004-05-30,0,4406857700.0
2004-05-31,0,4312779300.0
2004-06-01,0,6165550600.0
2004-06-02,0,6215844000.0
2004-06-03,0,7100050400.0
2004-06-04,0,6145018400.0
2004-06-05,0,6055864300.0
2004-06-06,0,6209030700.0
2004-06-07,0,6150998500.0
2004-06-08,0,5998808000.0
2004-06-09,0,8074309600.0
2004-06-10,0,8409094000.0
2004-06-11,0,8313621000.0
2004-06-12,0,8092859000.0
2004-06-13,0,7631052000.0
2004-06-15,0,8661996000.0
2004-06-16,0,7381997600.0
2004-06-17,0,9262053000.0
2004-06-18,0,9343114000.0
2004-06-19,0,9437537000.0
2004-06-20,0,9263844000.0
2004-06-21,0,8734056000.0
2004-06-22,0,10209595000.0
2004-06-23,0,10155066000.0
2004-06-24,0,10418111000.0
2004-06-25,0,10320375000.0
2004-06-26,0,9998151000.0
2004-06-27,0,10168416000.0
2004-06-28,0,10246410000.0
2004-06-30,0,9401480000.0
2004-07-01,0,9428205000.0
2004-07-02,0,10435770000.0
2004-07-03,0,13106338000.0
2004-07-04,0,12741639000.0
2004-07-05,0,13663307000.0
2004-07-06,0,12467334000.0
2004-07-07,0,14327394000.0
2004-07-08,0,14163804000.0
2004-07-09,0,13875905000.0
2004-07-10,0,13766768000.0
2004-07-12,0,9824780000.0
2004-07-13,0,8842179000.0
2004-07-14,0,9273516000.0
2004-07-15,0,9494447000.0
2004-07-16,0,9437013000.0
2004-07-17,0,9117738000.0
2004-07-18,0,9694135000.0
2004-07-20,0,10789710000.0
2004-07-21,0,10964202000.0
2004-07-22,0,10089071000.0
2004-07-23,0,10499001000.0
2004-07-24,0,10926592000.0
2004-07-25,0,11578512000.0
2004-07-26,0,9891637000.0
2004-07-27,0,9767598000.0
2004-07-28,0,9322416000.0
2004-07-29,0,9089521000.0
2004-07-30,0,9364805000.0
2004-07-31,0,9760991000.0
2004-08-01,0,10301906000.0
2004-08-02,0,10249673000.0
2004-08-03,0,10314000000.0
2004-08-04,0,10272250000.0
2004-08-05,0,10787424000.0
2004-08-06,0,10506709000.0
2004-08-07,0,9842712000.0
2004-08-08,0,9831772000.0
2004-08-09,0,9464623000.0
2004-08-10,0,8690284000.0
2004-08-11,0,8925408000.0
2004-08-12,0,10395031000.0
2004-08-13,0,10656989000.0
2004-08-14,0,11079047000.0
2004-08-15,0,11375678000.0
2004-08-16,0,11426443000.0
2004-08-17,0,11589701000.0
2004-08-18,0,11701941000.0
2004-08-19,0,11639086000.0
2004-08-20,0,8401341000.0
2004-08-21,0,8077999000.0
2004-08-22,0,8507385000.0
2004-08-23,0,8311822300.0
2004-08-24,0,8699009000.0
2004-08-25,0,7918715400.0
2004-08-26,0,7840772600.0
2004-08-27,0,7537876000.0
2004-08-28,0,8804385000.0
2004-08-29,0,8404168000.0
2004-08-30,0,9544097000.0
2004-08-31,0,9260635000.0
2004-09-01,0,9492442000.0
2004-09-02,0,9455127000.0
2004-09-03,0,9086985000.0
2004-09-04,0,9806326000.0
2004-09-05,0,5040051700.0
2004-09-06,0,4947514000.0
2004-09-07,0,4912239600.0
2004-09-08,0,4719347000.0
2004-09-09,0,4705914000.0
2004-09-10,0,4248677000.0
2004-09-11,0,4375220000.0
2004-09-12,0,4519171600.0
2004-09-13,0,1967096000.0
2004-09-14,0,2053377000.0
2004-09-16,0,2367366100.0
2004-09-17,0,2429252400.0
2004-09-18,0,2151098400.0
2004-09-19,0,2127860000.0
2004-09-20,0,2448012300.0
2004-09-21,0,3576741400.0
2004-09-22,0,3536863200.0
2004-09-23,0,3357812000.0
2004-09-24,0,3028499000.0
2004-09-25,0,3154033200.0
2004-09-26,0,3075962400.0
2004-09-27,0,3027830000.0
2004-09-28,0,2966845200.0
2004-09-29,0,1346870100.0
2004-09-30,0,1312560000.0
2004-10-01,0,1358585100.0
