time,spatial_ref,ET_mm_month
2003-10-01,0,49.923332
2003-11-01,0,12.695968
2003-12-01,0,2.1698165
2004-01-01,0,11.667815
2004-02-01,0,12.185488
2004-03-01,0,63.78116
2004-04-01,0,122.93215
2004-05-01,0,143.61005
2004-06-01,0,190.53807
2004-07-01,0,259.53748
2004-08-01,0,265.45193
2004-09-01,0,103.42618
2004-10-01,0,0.6003469
