case,bias_m_day,rmse_m_day,mae_m_day,correlation,percent_bias,total_model_ET_m,total_SSEBop_ET_m
Capillarity,-0.0006470789075760652,0.0012767793773434419,0.0009128763649884033,0.8462999219573812,-34.9949828457807,0.4218960432426011,0.6490207398018
No capillarity,-0.0008470545617874271,0.0013647601111908504,0.0009822493434096535,0.8743661468242168,-45.80996152421605,0.35170458861441306,0.6490207398018
