case,bias_m3_day,rmse_m3_day,mae_m3_day,correlation,percent_bias,total_model_ET_m3,total_SSEBop_ET_m3
Capillarity,3023876740.076669,3899340981.8702707,3150562489.0067973,0.8631901211950832,72.40618665750796,2534451112182.1875,1470046499675.2
No capillarity,1952449085.023149,3155443327.7113647,2457435623.5872273,0.8657797880887931,46.75104345882908,2157308577603.3484,1470046499675.2
