time,ET_cap_m3_day,ET_no_cap_m3_day,ET_cap_m_day,ET_no_cap_m_day,ET_mm_day,SSEBop_ET_m_day
2003-10-01,2129150.511228922,452303.0646685583,0.001039624273060997,0.00022085110579519448,2.4733024,0.0024733024000000003
2003-10-02,2009320.6247118816,471610.5387178028,0.0009811135862850984,0.00023027858335830214,2.5233808,0.0025233808
2003-10-03,2814213.2705841553,589392.830151778,0.0013741275735274195,0.0002877894678475478,2.2245204,0.0022245204
2003-10-04,1631897.9706714517,341666.99841299676,0.0007968251809919197,0.00016682958906884607,2.4624052,0.0024624052
2003-10-05,2328441.2545654834,1564938.5711296257,0.0011369342063308025,0.0007641301616843876,2.3343222,0.0023343222
2003-10-06,2487636.1558037465,1042950.7872767206,0.0012146660917010481,0.0005092533140999612,2.1031806,0.0021031806
2003-10-07,2546666.0406383,552827.4242130566,0.0012434892776554199,0.0002699352657290315,1.9039184,0.0019039184
2003-10-08,2380330.3717389703,365996.1880556844,0.001162270689325669,0.00017870907619906465,1.7477624,0.0017477624
2003-10-09,2937903.6581786084,2896740.619327016,0.0014345232705950236,0.0014144241305307696,1.6612723,0.0016612723
2003-10-10,2570271.856809655,2511603.1671250034,0.0012550155550828395,0.0012263687339477555,1.5415154,0.0015415154
2003-10-11,2220732.1294530146,1871988.7621024705,0.0010843418600844797,0.0009140570127453469,1.6344732,0.0016344731999999999
2003-10-12,2491972.942996965,1809603.9428793073,0.0012167836635727366,0.0008835956752340368,1.8738332,0.0018738332
2003-10-14,2017582.1578374505,985555.6053271907,0.0009851475380065677,0.0004812283229136673,1.8216087,0.0018216087
2003-10-15,1947663.819015283,817530.8931217632,0.0009510077241285561,0.000399185006407111,1.5671619,0.0015671619000000002
2003-10-16,2433537.8417379935,983483.99674939,0.0011882508992861296,0.0004802167952877881,0.014167477,1.4167477e-05
2003-10-17,1833125.1708696575,589220.7245879851,0.0008950806498386999,0.0002877054319277271,0.015601858,1.5601858e-05
2003-10-18,2004238.7197816572,585377.6507323815,0.0009786321873933874,0.00028582893102167063,0.015862571,1.5862571e-05
2003-10-19,2252476.147935417,588286.8418374552,0.0010998418691090903,0.0002872494344909449,0.013760054,1.3760054000000001e-05
2003-10-20,2320809.9481409397,493605.32105388254,0.0011332079824906932,0.0002410182231708411,0.013899691,1.3899691e-05
2003-10-21,2056388.371381908,384608.0735168952,0.0010040958844638223,0.00018779691089692148,0.013486523,1.3486523e-05
2003-10-22,2053911.8443287967,302327.64063652593,0.0010028866427386704,0.0001476209182795537,0.01351127,1.351127e-05
2003-10-23,1915027.6697452958,265815.47216003365,0.0009350721043678202,0.00012979271101564143,0.012301812,1.2301812000000001e-05
2003-10-24,2121414.5789952357,243975.7428615445,0.0010358469624000175,0.00011912878069411352,0.010954928,1.0954927999999999e-05
2003-10-25,1486878.4224015293,145930.94498011534,0.0007260148546882467,7.125534422857194e-05,0.0103614675,1.03614675e-05
2003-10-26,1248814.5764762184,165620.84541589973,0.0006097727424200285,8.086955342573229e-05,0.008288996,8.288996e-06
2003-10-27,1341502.9943279922,172719.8024352384,0.0006550307589492149,8.433584103283125e-05,0.008288996,8.288996e-06
2003-10-28,1225208.9419929641,154702.67901105434,0.000598246553707502,7.553841748586637e-05,0.008288996,8.288996e-06
2003-10-29,1514831.642464265,195318.04513214153,0.0007396638879220044,9.537013922467849e-05,0.009177199,9.177199e-06
2003-10-30,2069016.0298722899,208287.34141371894,0.001010261733336079,0.00010170280342466745,0.010855502,1.0855502e-05
2003-11-01,1218903.4665906206,356876.21213039535,0.0005951677082962015,0.0001742559629542946,0.013229343,1.3229343e-05
2003-11-02,1680016.7659224959,605546.2011353988,0.0008203206864855937,0.00029567685602314395,0.011346444,1.1346444e-05
2003-11-03,2001682.129589355,599581.6239221483,0.0009773838523385522,0.0002927644648057364,0.012938579,1.2938579000000001e-05
2003-11-04,1542179.1018011472,389536.00117924437,0.0007530171395513414,0.0001902031255758029,0.013526735,1.3526735e-05
2003-11-05,908279.7586791154,195957.3882497807,0.00044349597591753685,9.568231848133822e-05,0.009755635,9.755635000000001e-06
2003-11-06,790400.4006819399,208871.96300894016,0.0003859376956454785,0.00010198826318795906,0.011441451,1.1441451e-05
2003-11-08,382314.7753795287,318102.92507301015,0.0001866771364157855,0.00015532369388330573,0.011542643,1.1542643e-05
2003-11-09,497581.55848757253,457019.8094389914,0.00024295974535526002,0.00022315420382763252,0.26871675,0.00026871675
2003-11-10,1009257.6238698692,896284.2694323701,0.0004928015741552096,0.00043763880343377444,0.26971322,0.00026971321999999997
2003-11-11,1274052.3452900876,1133428.59529842,0.0006220958717236756,0.0005534319312980566,0.26824704,0.00026824704
2003-11-12,925869.9004077939,649993.8204255366,0.00045208491230849313,0.0003173797951296565,0.22294919,0.00022294918999999998
2003-11-13,860436.5914373426,489886.6840899686,0.0004201350544127649,0.00023920248246580498,0.22845826,0.00022845826
2003-11-14,341347.71802896366,180368.6933077609,0.00016667369044382993,8.807065102918013e-05,0.25334823,0.00025334823000000003
2003-11-15,747835.517086019,760962.1418055322,0.00036515406107715773,0.0003715635458034825,0.2496465,0.00024964649999999997
2003-11-16,908811.4785332134,899422.977619126,0.0004437556047525456,0.00043917137579058883,0.19857624,0.00019857624
2003-11-17,367819.5628453127,365857.01319620584,0.00017959939592056284,0.00017864111972470988,0.50436145,0.00050436145
2003-11-18,843340.2193552902,801492.2110389506,0.00041178721648207526,0.0003913536186713626,0.5690075,0.0005690075
2003-11-19,972227.9432116916,975345.5878819047,0.0004747206753963338,0.0004762429628329613,0.5951476,0.0005951476
2003-11-20,1217773.902419762,1156927.2824872185,0.0005946161632908994,0.0005649058996519622,0.6076973,0.0006076973
2003-11-21,968344.9160577812,903377.1290636663,0.00047282466604383846,0.0004411021138006183,0.50464696,0.0005046469599999999
2003-11-22,784428.5747578,712242.0286647179,0.000383021765018457,0.00034777442805894427,0.4175073,0.0004175073
2003-11-23,785854.4565680864,618999.5867882078,0.00038371799637113593,0.0003022458919864296,0.513905,0.0005139049999999999
2003-11-24,468064.7655679251,388724.89492530253,0.00022854724881246345,0.00018980707760024538,0.55532086,0.00055532086
2003-11-25,828651.4428629534,659098.7474291942,0.0004046149623354265,0.0003218255602681612,0.009940345,9.940345e-06
2003-11-26,735063.2272024497,615941.3970587025,0.0003589175914074461,0.0003007526352825696,0.009821034,9.821034e-06
2003-11-27,586953.0735748805,433918.0485575294,0.0002865981804564846,0.00021187404714723116,0.008708353,8.708353000000001e-06
2003-11-28,565887.8748549112,417897.99037191743,0.0002763124388939996,0.0002040517531112878,0.009428193,9.428193e-06
2003-11-29,750895.4069492402,529191.9676614843,0.00036664814792443373,0.0002583945154597091,0.008555457,8.555457e-06
2003-11-30,855899.0122825741,615211.6188508812,0.0004179194395911006,0.00030039629826703187,0.008606717,8.606717e-06
2003-12-01,701523.7671535236,500797.43008740776,0.00034254090193043145,0.00024452999515986706,0.007918693,7.918692999999998e-06
2003-12-02,663454.8126355094,432047.18955302774,0.00032395254523218234,0.00021096054177393932,0.009097216,9.097216e-06
2003-12-03,666986.538195177,429216.92107867583,0.00032567702060311374,0.00020957857474544718,0.108216085,0.00010821608500000001
2003-12-04,475129.59671720746,329687.63016510085,0.00023199687339707395,0.00016098028816655314,0.10478303,0.00010478303
2003-12-05,537141.1424595873,325286.01072739606,0.0002622759484665954,0.00015883105992548635,0.086053915,8.6053915e-05
2003-12-06,360492.1099866275,238429.57890176665,0.00017602153807940794,0.00011642069282312825,0.081440575,8.1440575e-05
2003-12-07,746288.2225275738,459115.0361533741,0.0003643985461560419,0.0002241772637467647,0.080235094,8.023509400000001e-05
2003-12-08,836232.8796189228,509625.2471299464,0.00040831683575142714,0.00024884045270016914,0.09849404,9.849404e-05
2003-12-09,329228.8170023282,178010.47328228052,0.00016075625830191804,8.691917640736354e-05,0.09740124,9.740124e-05
2003-12-10,631303.3872287917,364876.1502597334,0.0003082536070453085,0.00017816218274401043,0.0886814,8.868139999999999e-05
2003-12-11,424802.895986516,245377.57598366754,0.00020742328905591604,0.00011981326952327517,0.027435265,2.7435265e-05
2003-12-12,118402.85306089694,60727.297439866205,5.7813893096141085e-05,2.965200070305967e-05,0.024182945,2.4182945e-05
2003-12-13,109419.37101453943,113194.74822579886,5.342742725319308e-05,5.527087315712835e-05,0.03110252,3.1102520000000004e-05
2003-12-14,195744.46169677636,218577.42136707302,9.557835043787909e-05,0.00010672725652689113,0.03497879,3.4978790000000004e-05
2003-12-15,649858.4163059798,705704.9534510036,0.0003173136798369042,0.00034458249680224785,0.033699956,3.3699956000000006e-05
2003-12-17,503753.3567312662,546675.645513212,0.0002459733187164386,0.000266931467535748,0.027545296,2.7545296e-05
2003-12-18,569899.4659367442,603182.4777608144,0.0002782712236019259,0.00029452269421914763,0.030977465,3.0977465e-05
2003-12-19,445175.15000125824,475055.58295500366,0.00021737067871155187,0.00023196073386474788,0.001443659,1.443659e-06
2003-12-20,606607.530222952,631587.5244828927,0.0002961950831166758,0.00030839234593891244,0.0015377818,1.5377818e-06
2003-12-21,767462.1809694662,780377.0791600437,0.00037473739305149715,0.0003810434956836151,0.0015059655,1.5059654999999999e-06
2003-12-22,420241.5212366898,409500.599775278,0.00020519605529135246,0.00019995146473402248,0.0010919134,1.0919134e-06
