case,bias_m_day,rmse_m_day,mae_m_day,correlation,percent_bias,total_model_ET_m,total_SSEBop_ET_m
Capillarity,1.48688721971711,1.9127262888656487,1.5472400542214138,0.8631901211950832,73.28868579382693,1237.5249571202087,714.1406557797862
No capillarity,0.9637291850230079,1.5482411548788702,1.2060375118974245,0.8657797880887939,47.502221079639135,1053.373328907885,714.1406557797862
