time,spatial_ref,ET_m_month
2019-01-01,0,0.0
2019-02-01,0,0.0013519276
2019-03-01,0,0.022709686
2019-04-01,0,0.034279794
2019-05-01,0,0.06448939
2019-06-01,0,0.109391406
2019-07-01,0,0.13336681
2019-08-01,0,0.10716559
2019-09-01,0,0.048670705
2019-10-01,0,0.021668948
2019-11-01,0,0.0
2019-12-01,0,0.0
2020-01-01,0,1.1530093e-05
2020-02-01,0,0.0008763056
2020-03-01,0,0.006939568
2020-04-01,0,0.045352172
2020-05-01,0,0.06685968
2020-06-01,0,0.10181375
2020-07-01,0,0.12594303
2020-08-01,0,0.1039184
2020-09-01,0,0.054094642
2020-10-01,0,0.0040159556
2020-11-01,0,5.673843e-05
2020-12-01,0,8.858025e-07
2021-01-01,0,0.00028465586
2021-02-01,0,0.0012799707
2021-03-01,0,0.011806454
2021-04-01,0,0.03275281
2021-05-01,0,0.083148986
2021-06-01,0,0.09569714
2021-07-01,0,0.13085458
2021-08-01,0,0.108057715
2021-09-01,0,0.05648199
2021-10-01,0,0.019243892
2021-11-01,0,0.0037684168
2021-12-01,0,0.0
2022-01-01,0,3.0732255e-05
2022-02-01,0,7.053086e-05
2022-03-01,0,0.010236082
2022-04-01,0,0.039381497
2022-05-01,0,0.08018296
2022-06-01,0,0.096241206
2022-07-01,0,0.11068864
2022-08-01,0,0.10197002
2022-09-01,0,0.06216039
2022-10-01,0,0.009192695
2022-11-01,0,0.0
2022-12-01,0,7.0941364e-06
2023-01-01,0,0.0
